,genre,ranking,title,year,link
278,art_house__international,79,The Seventh Seal (Det Sjunde inseglet),1957,https://www.rottentomatoes.com/m/seventh_seal
279,art_house__international,80,Fireworks Wednesday (Chaharshanbe-soori),2016,https://www.rottentomatoes.com/m/fireworks_wednesday
280,art_house__international,81,Last Train Home,2010,https://www.rottentomatoes.com/m/last_train_home-2009
281,art_house__international,82,Monsieur Lazhar,2012,https://www.rottentomatoes.com/m/monsieur_lazhar_2011
282,art_house__international,83,Maria Full of Grace,2004,https://www.rottentomatoes.com/m/maria_full_of_grace
283,art_house__international,84,The Look of Silence,2015,https://www.rottentomatoes.com/m/the_look_of_silence
284,art_house__international,85,Nostalgia for the Light,2011,https://www.rottentomatoes.com/m/nostalgia_for_the_light
285,art_house__international,86,Hero,2004,https://www.rottentomatoes.com/m/hero
286,art_house__international,87,Mafioso,1964,https://www.rottentomatoes.com/m/mafioso_1964
287,art_house__international,88,Grave of the Fireflies (Hotaru no haka),1988,https://www.rottentomatoes.com/m/grave_of_the_fireflies
